Cluster ID	PMID
30419345	2
30419349	2
30405852	2
30397860	2
30391405	2
28198380	2
25752562	2
28653902	2
26968398	2
25682074	2
28101798	2
27888421	2
26273192	2
28377481	2
26568208	2
26820943	2
27580659	2
28618929	2
26925684	2
28958991	2
26201402	2
24619745	2
27015557	2
23622184	4
25008444	4
23954459	4
24032991	4
29548054	4
23793209	4
23817811	4
22411249	4
23849732	4
26542481	3
28863000	3
27346233	3
26861807	3
24715559	3
26492946	3
27100300	3
25439022	3
21670757	3
28689307	3
26987995	3
23858623	3
26031935	3
24950034	3
15110498	3
28625337	3
27140670	0
26790364	0
28449677	0
25447947	0
26003065	0
27709245	0
19403164	0
28608632	0
28786882	0
27146508	0
27578468	0
23687244	0
23734358	0
12606185	0
27475293	0
26002249	0
24915888	0
28623538	0
25888148	0
24342234	0
24715171	0
25692532	0
28539217	0
27685428	0
27074261	0
17557942	0
15077107	0
23652683	0
24655065	0
26141073	0
22229570	0
21603163	0
24705136	5
24715477	5
24769255	5
25080519	5
24523674	5
24533984	5
24695551	1
8270381	1
8712208	1
17574030	1
12677556	1
15231740	1
26586152	1
27488999	1
29039417	1
24316073	1
23716571	1
24611735	1
28174811	1
27442694	1
25672202	1
21246219	1
25458167	1
