	algo	method	arg	n_gram	homogeneity_score	ami	cumulative
0	hdbscan	lsa	title	1_1	0.458	0.419	-0.813
1	kmeans	lsa	title	1_1	0.921	0.897	-0.813
2	hdbscan	lsa	title	1_2	0.611	0.583	-0.882
3	kmeans	lsa	title	1_2	0.921	0.897	-0.882
4	hdbscan	lsa	title	1_3	0.6	0.572	-1.444
5	kmeans	lsa	title	1_3	0.921	0.897	-1.444
6	hdbscan	lsa	title	1_4	0.6	0.572	-1.545
7	kmeans	lsa	title	1_4	0.909	0.88	-1.545
8	hdbscan	tfidf	title	1_1	0.867	0.636	9.569
9	kmeans	tfidf	title	1_1	0.909	0.88	9.569
10	hdbscan	tfidf	title	1_2	0.904	0.729	8.943
11	kmeans	tfidf	title	1_2	0.874	0.835	8.943
12	hdbscan	tfidf	title	1_3	0.876	0.659	8.211
13	kmeans	tfidf	title	1_3	0.851	0.838	8.211
14	hdbscan	tfidf	title	1_4	0.876	0.659	8.116
15	kmeans	tfidf	title	1_4	0.888	0.851	8.116
16	hdbscan	lda	title	1_1	0.535	0.419	9.564
17	kmeans	lda	title	1_1	0.54	0.498	9.564
18	hdbscan	lda	title	1_2	0.548	0.443	10.746
19	kmeans	lda	title	1_2	0.574	0.512	10.746
20	hdbscan	lda	title	1_3	0.52	0.47	12.799
21	kmeans	lda	title	1_3	0.66	0.613	12.799
22	hdbscan	lda	title	1_4	0.763	0.719	14.723
23	kmeans	lda	title	1_4	0.784	0.728	14.723
24	hdbscan	lsa	abstract	1_1	-0.0	-0.0	-10.795
25	kmeans	lsa	abstract	1_1	0.849	0.794	-10.795
26	hdbscan	lsa	abstract	1_2	-0.0	-0.0	-10.48
27	kmeans	lsa	abstract	1_2	0.851	0.814	-10.48
28	hdbscan	lsa	abstract	1_3	-0.0	-0.0	-10.264
29	kmeans	lsa	abstract	1_3	0.831	0.789	-10.264
30	hdbscan	lsa	abstract	1_4	-0.0	-0.0	-10.207
31	kmeans	lsa	abstract	1_4	0.831	0.789	-10.207
32	hdbscan	tfidf	abstract	1_1	-0.0	-0.0	-2.806
33	kmeans	tfidf	abstract	1_1	0.83	0.816	-2.806
34	hdbscan	tfidf	abstract	1_2	-0.0	-0.0	-2.047
35	kmeans	tfidf	abstract	1_2	0.941	0.936	-2.047
36	hdbscan	tfidf	abstract	1_3	-0.0	-0.0	-1.557
37	kmeans	tfidf	abstract	1_3	0.941	0.936	-1.557
38	hdbscan	tfidf	abstract	1_4	-0.0	-0.0	-1.41
39	kmeans	tfidf	abstract	1_4	0.953	0.949	-1.41
40	hdbscan	lda	abstract	1_1	0.155	0.06	2.41
41	kmeans	lda	abstract	1_1	0.141	0.061	2.41
42	hdbscan	lda	abstract	1_2	0.104	0.039	2.248
43	kmeans	lda	abstract	1_2	0.127	0.046	2.248
44	hdbscan	lda	abstract	1_3	0.088	0.023	2.079
