	method	arg	n_gram	homogeneity_score	ami
0	lsa	title	1_1	0.3340997693057219	0.28608194358903694
1	lsa	title	1_2	0.31400015875589726	0.26434901907064423
2	lsa	title	1_3	0.2728869221425561	0.22055905704699244
3	lsa	title	1_4	0.2881103989988692	0.2366497046221464
4	tfidf	title	1_1	0.8762007942784765	0.7224932291037999
5	tfidf	title	1_2	0.8762007942784765	0.7865594775961023
6	tfidf	title	1_3	0.8762007942784766	0.7865594775961025
7	tfidf	title	1_4	0.8762007942784766	0.7865594775961025
8	lda	title	1_1	0.3487931268846001	0.24898736624426784
9	lda	title	1_2	0.4151409751365934	0.3619664958393907
10	lda	title	1_3	0.4587994624397828	0.3557267780067438
11	lda	title	1_4	0.5160409974649148	0.3672527927773552
12	lsa	abstract	1_1	-5.006535450688668e-17	-3.4024998208537215e-18
13	lsa	abstract	1_2	-5.006535450688668e-17	-3.4024998208537215e-18
14	lsa	abstract	1_3	-5.006535450688668e-17	-3.4024998208537215e-18
15	lsa	abstract	1_4	-5.006535450688668e-17	-3.4024998208537215e-18
16	tfidf	abstract	1_1	-5.006535450688668e-17	-3.4024998208537215e-18
17	tfidf	abstract	1_2	-5.006535450688668e-17	-3.4024998208537215e-18
18	tfidf	abstract	1_3	-5.006535450688668e-17	-3.4024998208537215e-18
19	tfidf	abstract	1_4	-5.006535450688668e-17	-3.4024998208537215e-18
20	lda	abstract	1_1	0.13669884117466582	0.0741208251199297
21	lda	abstract	1_2	0.1249317127870943	0.04497528325412144
22	lda	abstract	1_3	0.10074390509817392	0.01756159492238159
23	lda	abstract	1_4	0.10548547938840887	0.04096950762944159
24	lsa	title_abstract	1_1	0.47513977097171367	0.4371772055033275
25	lsa	title_abstract	1_2	0.31901475902766346	0.29601646558655564
26	lsa	title_abstract	1_3	0.3402444813255985	0.31791479219599855
27	lsa	title_abstract	1_4	0.3028151074414327	0.27942267162353124
28	tfidf	title_abstract	1_1	0.3358113682163819	0.31360634077874533
29	tfidf	title_abstract	1_2	0.3883222190631573	0.3675301511545556
30	tfidf	title_abstract	1_3	0.3883222190631573	0.3675301511545556
31	tfidf	title_abstract	1_4	0.3973620233501624	0.37688871594824136
32	lda	title_abstract	1_1	0.1553449965504226	0.07724281490034676
33	lda	title_abstract	1_2	0.1846467078812876	0.08547607511611281
34	lda	title_abstract	1_3	0.12348541461586682	0.04242953743917847
35	lda	title_abstract	1_4	0.17155537519894332	0.11201226614138118
36	lsa	title_NE	1_1	0.9607127915804489	0.9418223444806021
37	lsa	title_NE	1_2	1.0000000000000002	0.9760913400758743
38	lsa	title_NE	1_3	1.0000000000000002	0.9760913400758743
39	lsa	title_NE	1_4	1.0000000000000002	0.9617145185933864
40	tfidf	title_NE	1_1	0.9051241778102831	0.8408588914095922
41	tfidf	title_NE	1_2	0.8937262847507491	0.886148562250478
42	tfidf	title_NE	1_3	0.8839874967942016	0.8757150355680825
43	tfidf	title_NE	1_4	0.8839874967942016	0.8757150355680825
44	lda	title_NE	1_1	0.6360927203722718	0.6007413108145054
45	lda	title_NE	1_2	0.5280600072248517	0.4943284523353937
46	lda	title_NE	1_3	0.43676519783714246	0.38497383934943585
47	lda	title_NE	1_4	0.46970882330183816	0.41057773626335986
48	lsa	title_abstract_NE	1_1	0.7936292059790806	0.7541904307333129
49	lsa	title_abstract_NE	1_2	0.8596952738367344	0.8083358777097441
50	lsa	title_abstract_NE	1_3	0.5866929288522156	0.5569895101709669
51	lsa	title_abstract_NE	1_4	0.6358881219317627	0.6098825371189879
52	tfidf	title_abstract_NE	1_1	0.3630570478930742	0.3415795493180564
53	tfidf	title_abstract_NE	1_2	0.4102989460856449	0.3902757586650734
54	tfidf	title_abstract_NE	1_3	0.3933522218532748	0.37281333238388636
55	tfidf	title_abstract_NE	1_4	0.4285485551191949	0.40917985811185
56	lda	title_abstract_NE	1_1	0.08457459147673278	0.03578498261880948
57	lda	title_abstract_NE	1_2	0.06751972808464657	0.01918939585599724
58	lda	title_abstract_NE	1_3	0.14227404014287653	0.06325236000541612
59	lda	title_abstract_NE	1_4	0.2695028095902557	0.17945479066816747
