	algo	method	arg	n_gram	homogeneity_score	ami	sum	cumulative
0	hdbscan	lsa	title	1_1	0.458	0.419	0.877	-0.813
1	kmeans	lsa	title	1_1	0.921	0.897	1.818	-0.813
2	hdbscan	lsa	title	1_2	0.595	0.566	1.161	-0.882
3	kmeans	lsa	title	1_2	0.921	0.897	1.818	-0.882
4	hdbscan	lsa	title	1_3	0.6	0.572	1.172	-1.444
5	kmeans	lsa	title	1_3	0.921	0.897	1.818	-1.444
6	hdbscan	lsa	title	1_4	0.6	0.572	1.172	-1.545
7	kmeans	lsa	title	1_4	0.909	0.88	1.7890000000000001	-1.545
8	hdbscan	tfidf	title	1_1	0.867	0.636	1.5030000000000001	9.569
9	kmeans	tfidf	title	1_1	0.909	0.88	1.7890000000000001	9.569
10	hdbscan	tfidf	title	1_2	0.904	0.729	1.633	8.943
11	kmeans	tfidf	title	1_2	0.874	0.835	1.709	8.943
12	hdbscan	tfidf	title	1_3	0.876	0.659	1.5350000000000001	8.211
13	kmeans	tfidf	title	1_3	0.851	0.838	1.689	8.211
14	hdbscan	tfidf	title	1_4	0.876	0.659	1.5350000000000001	8.116
15	kmeans	tfidf	title	1_4	0.888	0.851	1.7389999999999999	8.116
16	hdbscan	lda	title	1_1	0.456	0.374	0.8300000000000001	8.571
17	kmeans	lda	title	1_1	0.537	0.477	1.014	8.571
18	hdbscan	lda	title	1_2	0.62	0.46	1.08	12.342
19	kmeans	lda	title	1_2	0.617	0.557	1.174	12.342
20	hdbscan	lda	title	1_3	0.628	0.498	1.126	10.881
21	kmeans	lda	title	1_3	0.697	0.649	1.346	10.881
22	hdbscan	lda	title	1_4	0.693	0.602	1.295	12.403
23	kmeans	lda	title	1_4	0.715	0.642	1.357	12.403
24	hdbscan	lsa	abstract	1_1	-0.0	-0.0	-0.0	-10.795
25	kmeans	lsa	abstract	1_1	0.849	0.794	1.643	-10.795
26	hdbscan	lsa	abstract	1_2	-0.0	-0.0	-0.0	-10.48
27	kmeans	lsa	abstract	1_2	0.851	0.814	1.665	-10.48
28	hdbscan	lsa	abstract	1_3	-0.0	-0.0	-0.0	-10.264
29	kmeans	lsa	abstract	1_3	0.831	0.789	1.62	-10.264
30	hdbscan	lsa	abstract	1_4	-0.0	-0.0	-0.0	-10.207
31	kmeans	lsa	abstract	1_4	0.831	0.789	1.62	-10.207
32	hdbscan	tfidf	abstract	1_1	-0.0	-0.0	-0.0	-2.806
33	kmeans	tfidf	abstract	1_1	0.83	0.816	1.646	-2.806
34	hdbscan	tfidf	abstract	1_2	-0.0	-0.0	-0.0	-2.047
35	kmeans	tfidf	abstract	1_2	0.941	0.936	1.877	-2.047
36	hdbscan	tfidf	abstract	1_3	-0.0	-0.0	-0.0	-1.557
37	kmeans	tfidf	abstract	1_3	0.941	0.936	1.877	-1.557
38	hdbscan	tfidf	abstract	1_4	-0.0	-0.0	-0.0	-1.41
39	kmeans	tfidf	abstract	1_4	0.953	0.949	1.902	-1.41
40	hdbscan	lda	abstract	1_1	0.053	0.021	0.074	3.079
41	kmeans	lda	abstract	1_1	0.159	0.08	0.239	3.079
42	hdbscan	lda	abstract	1_2	0.176	0.117	0.293	4.221
43	kmeans	lda	abstract	1_2	0.211	0.135	0.346	4.221
44	hdbscan	lda	abstract	1_3	0.08	0.014	0.094	4.044
45	kmeans	lda	abstract	1_3	0.108	0.026	0.134	4.044
46	hdbscan	lda	abstract	1_4	0.166	0.138	0.30400000000000005	6.741
